id,label,type,color,size,degree
http://dbpedia.org/ontology/activity,activity,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/brainInfoType,brain info type,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Covid19,COVID-19 pandemic,Class,#FF6B6B,5,2
http://dbpedia.org/ontology/endingTheme,ending theme,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/skiPisteKilometre,ski piste kilometre (μ),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Parliament,parliament,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/slogan,slogan,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/giniCoefficient,gini coefficient,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Deity,deity,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/Planet/meanTemperature,mean temperature (K),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/retirementDate,retirement date,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/director,film director,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/regime,regime,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfPostgraduateStudents,number of postgraduate students,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/juniorSeason,junior season,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/routeNumber,route number,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/dutchMIPCode,monument code for the Monuments Inventory Project,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfSoccerPlayersInTeam,number of SoccerPlayers in entity of SoccerClub,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/raceHorse,race horse,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/worldOpen,world open,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/followedBy,followed by,ObjectProperty,#BDC3C7,5,4
http://dbpedia.org/ontology/Road,road,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/comment,comment,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/shortProgCompetition,short prog competition,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/rightTributary,right tributary,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/computingInput,Computing input,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/usurper,usurper,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/otherWins,other wins,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/firstWin,first win,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/precursor,precursor,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfParticipatingMaleAthletes,number of participating male athletes,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/MultiVolumePublication,multi volume publication,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/output,output,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/authority,authority,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/LiteraryGenre,literary genre,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/relatedFunctions,related functions,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/riverBranch,branch,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/sex,sex,DatatypeProperty,#BDC3C7,5,2
